Product,current_price,raw_price,currency,discount,likes_count,brand,variation_0_color,variation_1_color,id,model
Mocassins,36.4,72.8,USD,50,873,,Black,Khaki,1687903,SKUF29428
Mocassins,46.36,106.49,USD,57,358,,Red,Blue,1533324,SKUC99128
Mocassins,43.38,119.98,USD,64,1511, Menico,Black,Khaki,1651734,SKUE68011
Sneakers & Baskets,19.99,39.99,USD,50,1873,,Green,Blue,1591892,SKUD85085
Mocassins,46.18,119.98,USD,62,2738,,Bleu,Noir,1474682,SKUC15622
Mocassins,45.57,91.14,USD,50,202,,Blue,Coffee,1682984,SKUF29370
Mocassins,36.64,73.28,USD,50,303,,kaki,Noir,1696409,SKUF40815
Mocassins,22.98,63.98,USD,64,3688,,Bleu fonc̩,gris,1488803,SKUC25967
Bottes & Bottines,41.29,96.94,USD,57,5739,,Black1,Brown,1540079,SKUD06092
Bottes & Bottines,32.99,69.99,USD,53,218,,Blue,Purple,1710310,SKUF71539
Baskets,34.84,76.46,USD,54,2252,,Noir,gris,1284771,SKU931470
Sandales & Mules,30.67,74.2,USD,59,7784,Lostisy,Navy,Maroon,1431555,SKUB22042
Mocassins,49.99,112.34,USD,56,159,,Khaki,Grey,1685010,SKUF28423
Baskets,43.12,110.6,USD,61,1539,,Noir,marron,1459646,SKUB82094
Sneakers & Baskets,19.99,39.99,USD,50,2895,,blanc,rouge,1412928,SKUB19289
Mocassins,64.62,131.98,USD,51,3216, Menico,Bleu,Noir,1341589,SKUA23559
Derbies & Mocassins,26.09,68.27,USD,62,1037,,Purple,Orange,1674852,SKUF15255
